"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.885363529E2,2.755247307E1,-1.836352706E0,-6.612784863E0
2.885463628E2,2.270182037E1,-2.549824715E0,-9.095572472E0
2.885563421E2,1.815283775E1,-2.856282711E0,-1.055124664E1
2.885663517E2,1.463814926E1,-3.033453465E0,-1.139640045E1
2.885763616E2,1.169806957E1,-3.581725836E0,-1.046505547E1
2.885863409E2,9.203310966E0,-4.489128113E0,-8.848969460E0
2.885963505E2,7.240066051E0,-6.019022942E0,-6.387730122E0
2.886063603E2,5.207388878E0,-7.627926826E0,-3.287238836E0
2.886163396E2,3.809175014E0,-9.296685219E0,2.154781483E-2
2.886263493E2,2.415749550E0,-1.059673691E1,3.241749048E0
2.886363591E2,1.079784989E0,-1.170525169E1,4.788403511E0
2.886463384E2,9.864110947E-1,-1.239478207E1,4.747702122E0
2.886563480E2,1.735796213E0,-1.295502567E1,4.357447147E0
2.886663579E2,2.767697096E0,-1.338358784E1,3.399766445E0
2.886763372E2,3.263296843E0,-1.379060173E1,1.465251446E0
2.886863468E2,3.069366693E0,-1.410663605E1,-4.525041282E-1
