"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.632543393E0,9.822713137E-1,-3.078760803E-1,-1.918727756E0
3.642530085E0,1.044579625E0,-2.651155293E-1,-2.069000483E0
3.652532547E0,1.112385631E0,-2.339613885E-1,-2.193006277E0
3.662519316E0,1.155757070E0,-2.522873580E-1,-2.262644768E0
3.672551931E0,1.165530920E0,-2.962696552E-1,-2.258368731E0
3.682508008E0,1.131322384E0,-3.659082949E-1,-2.152689219E0
3.692539008E0,1.050077319E0,-4.343251884E-1,-1.960877419E0
3.702527624E0,9.260717034E-1,-4.789183438E-1,-1.746463776E0
3.712527701E0,7.880161405E-1,-5.186246037E-1,-1.554041147E0
3.722516624E0,6.322455406E-1,-5.418374538E-1,-1.409876943E0
3.732549547E0,4.489859641E-1,-5.436700583E-1,-1.315192819E0
3.742505778E0,2.535090744E-1,-5.094616413E-1,-1.301753879E0
3.752538701E0,5.742133409E-2,-4.807509482E-1,-1.369559884E0
3.762525162E0,-1.258382350E-1,-4.587597847E-1,-1.452637553E0
3.772558163E0,-2.803871334E-1,-4.239404798E-1,-1.514334917E0
3.782514163E0,-3.860668242E-1,-4.379903674E-1,-1.545489073E0
3.792547086E0,-4.471533597E-1,-4.990769029E-1,-1.536326051E0
3.802533855E0,-4.673119187E-1,-5.931501389E-1,-1.511891484E0
3.812534163E0,-4.563163519E-1,-6.939429045E-1,-1.467298269E0
3.822522778E0,-4.208861589E-1,-7.635815740E-1,-1.398881435E0
3.832553470E0,-3.170390725E-1,-7.977899909E-1,-1.211345792E0
3.842511932E0,-2.131919712E-1,-7.696902156E-1,-1.032362223E0
3.852542470E0,-9.346238524E-2,-7.000515461E-1,-8.069530129E-1
