"Time (s)","Illuminance (lx)"
5.425334403E2,1.500000000E1
5.425733265E2,1.200000000E1
5.426140249E2,1.000000000E1
5.426533332E2,8.000000000E0
5.426933843E2,6.000000000E0
5.427334865E2,4.000000000E0
5.427733193E2,3.000000000E0
5.429333683E2,4.000000000E0
5.429733215E2,7.000000000E0
5.430133523E2,1.000000000E1
5.430533360E2,1.300000000E1
5.430940013E2,1.600000000E1
5.431333972E2,1.900000000E1
5.431733237E2,2.200000000E1
5.432133267E2,2.400000000E1
5.432533283E2,2.700000000E1
5.432933427E2,2.800000000E1
5.433340157E2,2.900000000E1
5.434533385E2,2.800000000E1
5.434934299E2,2.700000000E1
5.435333286E2,2.400000000E1
5.435740213E2,2.000000000E1
5.436133480E2,1.600000000E1
5.436534581E2,1.300000000E1
5.436933286E2,1.200000000E1
5.438142175E2,1.300000000E1
5.438533431E2,1.400000000E1
5.438933286E2,1.800000000E1
5.439334301E2,2.100000000E1
5.439734510E2,2.400000000E1
5.440134754E2,2.800000000E1
5.440540449E2,3.200000000E1
5.440932970E2,3.600000000E1
5.441333262E2,3.900000000E1
5.441733283E2,4.100000000E1
5.442942293E2,3.900000000E1
5.443334742E2,3.600000000E1
5.443732913E2,3.200000000E1
5.444133584E2,2.800000000E1
5.444934483E2,2.500000000E1
5.445341680E2,2.200000000E1
5.445733453E2,2.000000000E1
5.446134582E2,1.800000000E1
5.446533517E2,1.600000000E1
5.447742450E2,1.700000000E1
5.448135150E2,1.800000000E1
5.448533655E2,2.000000000E1
5.448935187E2,2.300000000E1
5.449734668E2,2.600000000E1
5.450142440E2,3.000000000E1
5.450533335E2,3.400000000E1
5.450933270E2,3.600000000E1
5.452540037E2,3.500000000E1
5.452933603E2,3.100000000E1
5.453333419E2,2.300000000E1
5.453734529E2,1.600000000E1
5.454533462E2,1.300000000E1
5.454942169E2,1.200000000E1
5.455333059E2,1.000000000E1
5.455732653E2,9.000000000E0
5.456133052E2,1.000000000E1
5.456532704E2,1.200000000E1
5.457732834E2,8.000000000E0
5.458132569E2,5.000000000E0
5.458533261E2,2.000000000E0
5.458932751E2,0.000000000E0
5.464933779E2,2.000000000E0
5.465332575E2,5.000000000E0
5.465732539E2,9.000000000E0
5.466132904E2,1.200000000E1
5.466532486E2,1.300000000E1
5.466941464E2,1.500000000E1
5.467332828E2,1.600000000E1
5.467732841E2,1.700000000E1
5.468133025E2,1.800000000E1
5.469732917E2,1.700000000E1
5.470934832E2,1.600000000E1
5.472133229E2,1.500000000E1
5.472535034E2,1.600000000E1
5.474933163E2,1.500000000E1
5.475333290E2,1.300000000E1
5.475735250E2,1.200000000E1
5.477333346E2,1.600000000E1
5.477733074E2,2.400000000E1
5.478134982E2,3.200000000E1
5.478534349E2,4.000000000E1
5.478943253E2,4.600000000E1
5.479333019E2,4.900000000E1
5.479732977E2,5.000000000E1
5.481340223E2,4.900000000E1
5.481733632E2,4.800000000E1
5.482133752E2,4.600000000E1
5.482534551E2,4.500000000E1
5.482933804E2,4.200000000E1
5.483334810E2,3.900000000E1
5.483740920E2,3.600000000E1
5.484135090E2,3.500000000E1
5.485333493E2,3.600000000E1
5.486141880E2,3.700000000E1
5.487333417E2,3.600000000E1
5.487733311E2,3.500000000E1
5.488541257E2,3.400000000E1
5.489333158E2,3.300000000E1
5.490533250E2,3.200000000E1
5.490942195E2,3.000000000E1
5.491334847E2,2.700000000E1
5.491733650E2,2.300000000E1
5.492135330E2,2.000000000E1
5.492535145E2,1.800000000E1
5.493733274E2,1.900000000E1
5.494133176E2,2.100000000E1
5.494533563E2,2.300000000E1
5.494935865E2,2.400000000E1
5.497734386E2,2.300000000E1
5.498533598E2,2.200000000E1
5.498934305E2,2.000000000E1
5.499332988E2,1.700000000E1
5.499733382E2,1.400000000E1
5.500133497E2,1.200000000E1
5.500542203E2,1.100000000E1
5.501333650E2,1.000000000E1
5.502135385E2,9.000000000E0
5.502533517E2,8.000000000E0
5.503333909E2,9.000000000E0
5.503735757E2,1.100000000E1
5.504133447E2,1.300000000E1
5.504533560E2,1.700000000E1
5.504934540E2,1.900000000E1
5.505734619E2,2.000000000E1
5.506133337E2,2.100000000E1
5.506533173E2,2.000000000E1
5.506933339E2,1.900000000E1
5.507333400E2,1.800000000E1
5.507741222E2,1.600000000E1
5.508133351E2,1.400000000E1
5.508533305E2,1.000000000E1
5.508933505E2,8.000000000E0
5.509333306E2,5.000000000E0
5.509733626E2,3.000000000E0
5.510140044E2,2.000000000E0
5.510533395E2,0.000000000E0
5.511734973E2,1.000000000E0
5.512541860E2,2.000000000E0
5.513333339E2,4.000000000E0
5.513733148E2,6.000000000E0
5.514133687E2,8.000000000E0
5.514533520E2,9.000000000E0
5.518529490E2,1.000000000E1
5.519736262E2,9.000000000E0
5.520129757E2,7.000000000E0
5.520530930E2,5.000000000E0
5.520929526E2,4.000000000E0
5.522136268E2,6.000000000E0
5.522529788E2,8.000000000E0
5.523331941E2,1.000000000E1
5.523730351E2,1.200000000E1
5.524129483E2,1.300000000E1
5.525331188E2,1.400000000E1
5.528129588E2,1.200000000E1
5.528531367E2,1.000000000E1
5.528929587E2,7.000000000E0
5.529335856E2,4.000000000E0
5.529729296E2,2.000000000E0
5.530129421E2,1.000000000E0
5.531329357E2,3.000000000E0
5.531736327E2,7.000000000E0
5.532129877E2,1.200000000E1
5.532530627E2,1.700000000E1
5.532929634E2,2.100000000E1
5.533329957E2,2.300000000E1
5.533730828E2,2.400000000E1
5.534929498E2,2.300000000E1
5.535330824E2,2.100000000E1
5.535729927E2,1.800000000E1
5.536129736E2,1.500000000E1
5.536537292E2,1.300000000E1
5.536929760E2,1.100000000E1
5.537329692E2,1.000000000E1
5.537729550E2,9.000000000E0
5.538531040E2,8.000000000E0
5.540130339E2,7.000000000E0
5.542129797E2,8.000000000E0
5.542531818E2,9.000000000E0
5.542929772E2,8.000000000E0
5.544129850E2,7.000000000E0
5.544530867E2,5.000000000E0
5.544929815E2,3.000000000E0
5.545729766E2,2.000000000E0
5.546136597E2,1.000000000E0
5.547330837E2,0.000000000E0
5.549329584E2,1.000000000E0
5.550130277E2,3.000000000E0
5.550530827E2,7.000000000E0
5.550936994E2,1.200000000E1
5.551329849E2,1.800000000E1
5.551731646E2,2.300000000E1
5.552129658E2,2.600000000E1
5.552530787E2,2.700000000E1
5.552929739E2,2.800000000E1
5.554929292E2,2.700000000E1
5.555329553E2,2.500000000E1
5.555736360E2,2.200000000E1
5.556130342E2,2.000000000E1
5.556529717E2,1.700000000E1
5.556931240E2,1.500000000E1
5.557331696E2,1.200000000E1
5.557731794E2,1.000000000E1
5.558136327E2,7.000000000E0
5.559329840E2,9.000000000E0
5.559729671E2,1.200000000E1
5.560131354E2,1.500000000E1
5.560540366E2,1.700000000E1
5.561729742E2,1.400000000E1
